3,0
2,1
2,2
2,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
0,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
0,28
0,29
0,30
0,31
0,32
1,33
1,34
0,35
0,36
0,37
0,38
0,39
1,40
1,41
1,42
0,43
0,44
0,45
0,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
0,58
1,59
1,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
1,89
0,90
0,91
0,92
0,93
1,94
1,95
1,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
1,113
1,114
1,115
0,116
1,117
1,118
1,119
0,120
0,121
0,122
0,123
1,124
1,125
1,126
1,127
1,128
1,129
1,130
1,131
1,132
1,133
1,134
1,135
1,136
1,137
1,138
1,139
1,140
1,141
1,142
1,143
1,144
1,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
1,155
1,156
1,157
1,158
1,159
1,160
1,161
1,162
1,163
1,164
1,165
1,166
1,167
1,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
1,176
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,186
2,187
1,188
1,189
2,190
1,191
1,192
1,193
2,194
2,195
2,196
2,197
2,198
2,199
2,200
2,201
2,202
2,203
2,204
2,205
2,206
1,207
1,208
2,209
2,210
2,211
2,212
2,213
2,214
2,215
2,216
2,217
2,218
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
2,227
2,228
2,229
2,230
2,231
2,232
2,233
2,234
2,235
2,236
2,237
2,238
2,239
2,240
2,241
3,242
3,243
3,244
